year,month,day,ET(min)
2023,1,1,-3.210290
2023,1,2,-3.681023
2023,1,3,-4.146336
2023,1,4,-4.605730
2023,1,5,-5.058721
2023,1,6,-5.504833
2023,1,7,-5.943602
2023,1,8,-6.374578
2023,1,9,-6.797322
2023,1,10,-7.211409
2023,1,11,-7.616432
2023,1,12,-8.011994
2023,1,13,-8.397717
2023,1,14,-8.773236
2023,1,15,-9.138206
2023,1,16,-9.492296
2023,1,17,-9.835194
2023,1,18,-10.166603
2023,1,19,-10.486246
2023,1,20,-10.793865
2023,1,21,-11.089218
2023,1,22,-11.372081
2023,1,23,-11.642252
2023,1,24,-11.899545
2023,1,25,-12.143792
2023,1,26,-12.374847
2023,1,27,-12.592580
2023,1,28,-12.796881
2023,2,1,-13.478197
2023,2,2,-13.614323
2023,2,3,-13.736738
2023,2,4,-13.845458
2023,2,5,-13.940514
2023,2,6,-14.021957
2023,2,7,-14.089852
2023,2,8,-14.144279
2023,2,9,-14.185337
2023,2,10,-14.213136
2023,2,11,-14.227803
2023,2,12,-14.229479
2023,2,13,-14.218318
2023,2,14,-14.194488
2023,2,15,-14.158168
2023,2,16,-14.109552
2023,2,17,-14.048843
2023,2,18,-13.976256
2023,2,19,-13.892017
2023,2,20,-13.796363
2023,2,21,-13.689539
2023,2,22,-13.571800
2023,2,23,-13.443409
2023,2,24,-13.304639
2023,2,25,-13.155767
2023,2,26,-12.997080
2023,2,27,-12.828872
2023,2,28,-12.651442
2023,3,1,-12.465093
2023,3,2,-12.270136
2023,3,3,-12.066886
2023,3,4,-11.855662
2023,3,5,-11.636788
2023,3,6,-11.410588
2023,3,7,-11.177395
2023,3,8,-10.937539
2023,3,9,-10.691356
2023,3,10,-10.439183
2023,3,11,-10.181359
2023,3,12,-9.918224
2023,3,13,-9.650118
2023,3,14,-9.377385
2023,3,15,-9.100367
2023,3,16,-8.819407
2023,3,17,-8.534847
2023,3,18,-8.247030
2023,3,19,-7.956299
2023,3,20,-7.662994
2023,3,21,-7.367458
2023,3,22,-7.070028
2023,3,23,-6.771045
2023,3,24,-6.470843
2023,3,25,-6.169759
2023,3,26,-5.868126
2023,3,27,-5.566276
2023,3,28,-5.264536
2023,4,1,-4.065197
2023,4,2,-3.768868
2023,4,3,-3.474572
2023,4,4,-3.182620
2023,4,5,-2.893316
2023,4,6,-2.606964
2023,4,7,-2.323864
2023,4,8,-2.044309
2023,4,9,-1.768590
2023,4,10,-1.496995
2023,4,11,-1.229805
2023,4,12,-0.967298
2023,4,13,-0.709745
2023,4,14,-0.457413
2023,4,15,-0.210566
2023,4,16,0.030543
2023,4,17,0.265661
2023,4,18,0.494547
2023,4,19,0.716960
2023,4,20,0.932672
2023,4,21,1.141456
2023,4,22,1.343098
2023,4,23,1.537387
2023,4,24,1.724122
2023,4,25,1.903108
2023,4,26,2.074162
2023,4,27,2.237106
2023,4,28,2.391773
2023,5,1,2.804575
2023,5,2,2.924646
2023,5,3,3.035747
2023,5,4,3.137770
2023,5,5,3.230618
2023,5,6,3.314206
2023,5,7,3.388460
2023,5,8,3.453317
2023,5,9,3.508729
2023,5,10,3.554656
2023,5,11,3.591075
2023,5,12,3.617972
2023,5,13,3.635347
2023,5,14,3.643215
2023,5,15,3.641601
2023,5,16,3.630545
2023,5,17,3.610100
2023,5,18,3.580334
2023,5,19,3.541327
2023,5,20,3.493172
2023,5,21,3.435977
2023,5,22,3.369864
2023,5,23,3.294967
2023,5,24,3.211435
2023,5,25,3.119428
2023,5,26,3.019123
2023,5,27,2.910708
2023,5,28,2.794384
2023,6,1,2.254460
2023,6,2,2.102046
2023,6,3,1.943190
2023,6,4,1.778176
2023,6,5,1.607300
2023,6,6,1.430867
2023,6,7,1.249194
2023,6,8,1.062603
2023,6,9,0.871429
2023,6,10,0.676013
2023,6,11,0.476704
2023,6,12,0.273859
2023,6,13,0.067840
2023,6,14,-0.140983
2023,6,15,-0.352238
2023,6,16,-0.565544
2023,6,17,-0.780519
2023,6,18,-0.996777
2023,6,19,-1.213929
2023,6,20,-1.431583
2023,6,21,-1.649347
2023,6,22,-1.866827
2023,6,23,-2.083630
2023,6,24,-2.299363
2023,6,25,-2.513635
2023,6,26,-2.726056
