Rd,Year,Month,Event,Count,Leap
-214193,-587,8,1,3,f
-61387,-169,12,3,6,f
25469,70,10,1,6,f
49217,135,10,2,5,f
171307,470,1,3,7,f
210155,576,6,1,15,f
253427,694,11,3,7,f
369740,1013,5,1,13,f
400085,1096,6,1,15,f
434355,1190,4,1,17,f
452605,1240,3,2,5,f
470160,1288,4,1,7,f
473837,1298,5,1,12,f
507850,1391,6,2,2,f
524156,1436,2,1,8,f
544676,1492,4,1,2,f
567118,1553,9,3,5,f
569477,1560,3,1,6,f
601716,1648,6,1,2,f
613424,1680,7,1,12,f
626596,1716,7,3,3,f
645554,1768,6,3,6,f
664224,1819,8,1,12,f
671401,1839,3,3,1,f
694799,1903,4,3,8,f
704424,1929,8,3,2,f
708842,1941,10,1,16,f
709409,1943,4,3,8,f
709580,1943,10,1,8,f
727274,1992,3,2,4,f
728714,1996,2,3,2,f
744313,2038,11,1,5,f
764652,2094,7,2,3,f
