Rd, Sunset In Jerusalem	
-214193, 0.780316, 18:43:39
-61387, 0.697046, 16:43:44
25469, 0.734633, 17:37:52
49217, 0.728256, 17:28:41
171307, 0.708507, 17:00:15
210155, 0.773958, 18:34:29
253427, 0.700603, 16:48:52
369740, 0.76249,  18:17:59
400085, 0.776537, 18:38:12
434355, 0.747832, 17:56:52
452605, 0.742275, 17:48:52
470160, 0.752849, 18:04:06
473837, 0.764157, 18:20:23
507850, 0.783802, 18:48:40
524156, 0.722263, 17:20:03
544676, 0.755883, 18:08:28
567118, 0.739399, 17:44:44
569477, 0.7394,	  17:44:44
601716, 0.783818, 18:48:41
613424, 0.786846, 18:53:03
626596, 0.781726, 18:45:41
645554, 0.786069, 18:51:56
664224, 0.777887, 18:40:09
671401, 0.749431, 17:59:10
694799, 0.759982, 18:14:22
704424, 0.761658, 18:16:47
708842, 0.730384, 17:31:45
709409, 0.760142, 18:14:36
709580, 0.723746, 17:22:11
727274, 0.745103, 17:52:56
728714, 0.734485, 17:37:39
744313, 0.699545, 16:47:20
764652, 0.784238, 18:49:18
