Rd	Jd	Mjd
-214193	1507231.5	-892769
-61387	1660037.5	-739963
25469	1746893.5	-653107
49217	1770641.5	-629359
171307	1892731.5	-507269
210155	1931579.5	-468421
253427	1974851.5	-425149
369740	2091164.5	-308836
400085	2121509.5	-278491
434355	2155779.5	-244221
452605	2174029.5	-225971
470160	2191584.5	-208416
473837	2195261.5	-204739
507850	2229274.5	-170726
524156	2245580.5	-154420
544676	2266100.5	-133900
567118	2288542.5	-111458
569477	2290901.5	-109099
601716	2323140.5	-76860
613424	2334848.5	-65152
626596	2348020.5	-51980
645554	2366978.5	-33022
664224	2385648.5	-14352
671401	2392825.5	-7175
694799	2416223.5	16223
704424	2425848.5	25848
708842	2430266.5	30266
709409	2430833.5	30833
709580	2431004.5	31004
727274	2448698.5	48698
728714	2450138.5	50138
744313	2465737.5	65737
764652	2486076.5	86076
